channel_group_name,state,testing_point,opps,bids,win_rate,sold,binds,quotes,click_to_quote,channel_quote,click_to_channel_quote,q2b,channel_binds,channel_q2b,cpc,avg_bid,win_rate_uplift_state,cpc_uplift_state,win_rate_uplift_channel,cpc_uplift_channel,performance,roe,combined_ratio,win_rate_uplift,cpc_uplift,additional_clicks,expected_bind_change,additional_budget_needed,current_cpb,expected_cpb,cpb_uplift,stat_sig,stat_sig_channel_group,stat_sig_source,recommended_testing_point,segment
Group 07 SCH,OR,10,8,8,0.125,1,0,0,0,0,0,0.05909617612977984,0,0.060943846702427834,1,1,,,2.851963746223565,0.07030603804797365,,0,0,,,7.5,0.15736295162835578,6.5,,47.66051934328708,,mid,mid,channel & state,0,SCH
Group 07 SCH,OR,20,2,2,0,0,0,0,0,0,0,0.05909617612977984,0,0.060943846702427834,,1,,,1.8083700440528636,,,0,0,1.8083700440528636,,0,0,,,,,low,low,channel only,0,SCH
Group 07 SCH,OR,30,4,4,0,0,0,0,0,0,0,0.05909617612977984,0,0.060943846702427834,,1,,,2.967842323651452,,,0,0,2.967842323651452,,0,0,,,,,low,mid,channel only,0,SCH
Group 10,OR,-15,24,24,0,0,0,0,0,0,0,,0,,,2.723333333333334,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 10,OR,-10,22,22,0,0,0,0,0,0,0,,0,,,2.8113636363636365,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 10,OR,-5,25,25,0,0,0,0,0,0,0,,0,,,2.8936000000000006,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 10,OR,0,104,104,0,0,0,0,0,0,0,,0,,,2.8034615384615376,,,,,,0,0,,,0,0,,,,,baseline,baseline,baseline,0,
Group 10,OR,5,22,22,0,0,0,0,0,0,0,,0,,,2.966818181818182,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 10,OR,10,21,21,0,0,0,0,0,0,0,,0,,,2.8190476190476192,,,,,,0,0,,,0,0,,,,,low,low,channel only,0,
Group 10 MCH,OR,-15,818,818,0.004889975550122249,4,0,1,0.0012224938875305623,6,0.0007098071690524074,0.07815213615838833,26,0.07498017732285735,4.779999999999999,3.3250977995110045,-0.04289842187152699,-0.2265941016400679,-0.34719838722941304,-0.3178539131862701,,0,0,-0.34719838722941304,-0.3178539131862701,-1.8526818211241007,-0.048861510783156904,-62.82887530562351,,-4043.6965932392923,,low,high,channel only,0,MCH
Group 10 MCH,OR,-10,825,825,0.0024242424242424242,2,0,0,0,6,0.0007098071690524074,0.07815213615838833,26,0.07498017732285735,3.1550000000000002,3.566181818181818,-0.5255096418732782,-0.4895197470030154,-0.07342335099051484,-0.041491479402764916,,0,0,-0.07342335099051484,-0.041491479402764916,-22.695523934186262,-0.5747346755869324,-195.7573575757576,,-112.49128540611832,,low,low,channel only,0,MCH
Group 10 MCH,OR,-5,853,853,0.007033997655334115,6,0,1,0.0011723329425556857,6,0.0007098071690524074,0.07815213615838833,26,0.07498017732285735,4.7683333333333335,3.804021101992972,0.3767451774485774,-0.22848177294010943,-0.006949906358925166,0.010398489345554386,,0,0,-0.006949906358925166,0.010398489345554386,16.2707370342318,0.44672603087695073,23.10738569753812,,634.6560668089479,,low,low,channel only,0,MCH
Group 10 MCH,OR,0,4306,4306,0.005109150023223409,22,0,2,0.00046446818392940084,6,0.0007098071690524074,0.07815213615838833,26,0.07498017732285735,6.1804545454545465,4.028934045517872,,,,,,0,0,,,0,0,6.509277751973968,,,,baseline,baseline,baseline,0,MCH
